Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C126, C127",SMD_0402,3,2.2n,
"C100, C101, C102, C106, C162, C248, C26, C303, C306, C60, C61, C62, C64, C70, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C93, C94, C98",SMD_0805,30,10u,
"C103, C104, C105, C107, C169, C172, C173, C177, C178, C214, C215, C71, C72",SMD_0805,13,DNP,
"C108, C115, C116, C120, C121, C122, C123, C132, C133, C138, C139, C150, C151, C152, C153, C154, C158, C159, C160, C161, C17, C18, C2, C207, C21, C210, C211, C212, C219, C221, C223, C224, C225, C23, C24, C25, C252, C27, C30, C301, C302, C4, C43, C49, C58, C6, C73, C74, C75",SMD_0402,49,100n,
"C109, C11, C110, C111, C112, C113, C114, C134, C135, C136, C137, C3, C300, C44, C5, C53, C7, C8",SMD_0402,18,10p,
"C117, C118, C119, C163, C164, C165, C166, C167, C168, C180, C213",SMD_0402,11,100p,
"C12, C19, C20, C217, C218, C222, C249, C89",SMD_0603,8,1u,
"C124, C125, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C174, C29, R10, R101, R50, R63, R64, R65, R66, R67, R68, R69, R74, R75, R76, R77, R78, R86",SMD_0402,30,DNP,
"C128, C129, C130, C131, C179, C206, C28, C95",SMD_0402,8,10n,
"C14, C304, C305, C307",SMD_0402,4,220p,
"C155, C156, C157, C183, C185, C186, C188, C194, C195",SMD_0603,9,4.7u,
"C170, C171, C187, C189, C190, C191, C192, C193, C197, C198, C199, C200, C201, C202, C203, C204, C205, C250, C251, C96, C97, C99",SMD_0402,22,470n,
C181,SMD_1210,1,100u,
"C182, C184, C196",SMD_1206,3,47u,
"C208, C209",SMD_0402,2,15p,
"C216, C22, C220, C31",SMD_0603,4,2.2u,
"C35, C45, C47, C50, C51, C54, C56, C59",SMD_0603,8,DNP,
"C42, C46, C52, C55",SMD_0402,4,18p,
"C48, C57",SMD_0402,2,0.5p,
CON1,DM3BT-DSF-PEJS,1,SD_Card_DM3BT,
CON2,BarrelJack,1,BARREL_JACK,
"D1, D2, D3, D5, D6, D7",Diode_0603,6,LED,
"F1, F2",RF_via,2,Via,
"FB1, FB12, FB13, FB14, FB2, FB3, FB4, FB5, FB6, FB7, FB8",SMD_0603,11,BLM18PG181SN1D,
FB11,SMD_0805,1,MPZ2012S101AT000,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
"L1, L3",SMD_0402,2,LQW15AN9N9J80D,
"L10, L11, L8, L9",SMD_0805,4,2.2u,
"L2, L4",SMD_0402,2,0.6n,
"L5, L6, L7",SRR6040A,3,33u (SRR6040A-330M),
"P1, P2, U15",CONSMA003.062,3,SMA,
"P10, P11, P12, P13, P14, P15, P16, P9",TP_1.00,8,CONN_01X01,
"P3, P4",Pin_Header_Straight_2x04_Pitch2.54mm_SMD,2,CONN_02X04,
"P5, P7, P8",MountingHole_3.2mm_M3_Pad_Via_mod,3,CONN_01X01,
Q2,SOT-416,1,DNP(RE1C002UN),
R1,SMD_0402,1,5.49k,
"R100, R17, R51, R52, R53, R54, R97, R98, R99",SMD_0402,9,49.9,
"R103, R110, R114, R115, R18, R19, R20, R7, R70, R80, R81, R87, R89, R90, R93, R94",SMD_0402,16,0,
"R104, R32",SMD_0402,2,68k,
R109,SMD_0402,1,240,
"R11, R12, R9",SMD_0402,3,16.7,
"R111, R24, R25, R27, R300, R301, R4, R55, R56, R57, R58, R72",SMD_0402,12,1k,
"R112, R117, R118, R14, R5, R6, R82, R91",SMD_0402,8,4.7k,
"R13, R130, R15, R16",SMD_0402,4,33,
"R2, R48",SMD_0402,2,3.3K,
"R21, R84, R85, R88",SMD_0402,4,22,
"R22, R23",SMD_0402,2,100,
"R3, R8",SMD_0402,2,5.1k,
R302,SMD_0402,1,27,
"R303, R305",SMD_0603,2,2,
R304,SMD_0402,1,27.4k,
"R33, R34, R36",SMD_0402,3,100k,
"R35, R46, R47",SMD_0402,3,18.7K,
"R37, R71",SMD_0402,2,12k,
R43,SMD_0402,1,18k,
"R44, R49",SMD_0402,2,2k,
R45,SMD_0402,1,49.9k,
"R59, R60, R61, R62",SMD_0402,4,20.5k,
"R73, R83, R92",SMD_0402,3,10k,
R79,SMD_0402,1,2.2k,
"SW1, SW2",EVP-AWBA2A,2,SW_PUSH,
U1,VFQFN-24,1,ADF4158,
U10,VQFN-24,1,HMC431LP4,
"U11, U16",XFDFN-6,2,SKY65404,
U12,PAT1220,1,PAT1220-3dB,
"U13, U9",DFN-8-1EP_2x2mm_Pitch0.5mm,2,TRF37A73,
U14,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,1,TQP5525,
"U17, U18, U19",SOT23_6,3,LMR51420,
"U2, U31, U37, U5",SolderPad_1_1.0mm_SMD_Circle,4,SolderPad_1_Circle,
"U20, U39",SOT-23-5,2,LP5907-3.0,
U21,SOT-23-5,1,LP2985A-10DBVR,
"U22, U23, U24",DFN-8-1EP_4x4mm_P0.8mm_EP2.3x3.24mm,3,LD3920,
U25,SOT-23-5,1,BU33SD5WG,
"U26, U27, U28",5400BL15B050E,3,5400BL15B050E,
U29,QFN-24-1EP_4x4mm_Pitch0.5mm,1,ADL5802,
U3,PAT1220,1,PAT1220-6dB,
U30,FTG256,1,XC7A35T-1FTG256C,
U32,SOT-23-6,1,93LC46B,
U33,LQFP-64_10x10mm_Pitch0.5mm,1,FT2232H,
"U34, U35",VFQFN-24,2,ADA4940-2,
U36,SolderPad_1_1.5mm_SMD_Circle,1,SolderPad_1_Circle,
U4,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,1,ECS-TXO-3225MV,
U40,DFN-S-8-1EP_6x5mm_Pitch1.27mm,1,W25Q32JV,
U6,DFN-8,1,NB3N551,
U7,SOT-353_SC-70-5,1,TLV172DCK,
U8,QFN-64-1EP_9x9mm_Pitch0.5mm,1,LTC2292,
Y1,ABM10,1,ABM10-167-12.000MHZ-T3,
Z1,Directional_Coupler_15dB_0.169mm_v2,1,15dB COUPLER,
